view,user_lr,item_lr,bipartite_lr,user_decay,item_decay,bipartite_decay,ndcg
item,0.01,0.1,0.01,0.0001,0.001,0.0001,0.5158784733429572
item,0.01,0.1,0.01,0.0001,0.1,0.0001,0.5153610050075782
item,0.01,0.1,0.01,0.0001,0.0001,0.0001,0.5153498855442511
item,0.01,0.1,0.01,0.0001,0.005,0.0001,0.5153428712977985
item,0.01,0.1,0.01,0.0001,0.0005,0.0001,0.5152582964524427
item,0.01,0.1,0.01,0.0001,0.01,0.0001,0.5152051738853808
item,0.01,0.01,0.01,0.0001,0.1,0.0001,0.5073685621112297
item,0.01,0.01,0.01,0.0001,0.01,0.0001,0.5073675729115509
item,0.01,0.01,0.01,0.0001,0.005,0.0001,0.5072921004499796
item,0.01,0.01,0.01,0.0001,0.001,0.0001,0.5072025133242862
item,0.01,0.01,0.01,0.0001,0.0005,0.0001,0.5071917336575733
item,0.01,0.01,0.01,0.0001,0.0001,0.0001,0.507175864336285
user,0.001,0.001,0.01,0.005,0.001,0.0001,0.5068384869625642
user,0.001,0.001,0.01,0.01,0.001,0.0001,0.5068340200103058
user,0.001,0.001,0.01,1e-05,0.001,0.0001,0.5068340200103058
user,0.001,0.001,0.01,0.0001,0.001,0.0001,0.5068340200103058
user,0.001,0.001,0.01,0.001,0.001,0.0001,0.5068340200103058
user,0.001,0.001,0.01,0.0005,0.001,0.0001,0.5068340200103058
bipartite,0.01,0.001,0.001,0.0001,0.001,0.01,0.506151767740684
bipartite,0.01,0.001,0.001,0.0001,0.001,0.005,0.506151767740684
bipartite,0.01,0.001,0.001,0.0001,0.001,1e-05,0.5060813139473326
bipartite,0.01,0.001,0.001,0.0001,0.001,0.001,0.5060813139473326
bipartite,0.01,0.001,0.001,0.0001,0.001,0.0005,0.5060813139473326
bipartite,0.01,0.001,0.001,0.0001,0.001,0.0001,0.5060813139473326
item,0.01,0.005,0.01,0.0001,0.1,0.0001,0.5059831940929442
item,0.01,0.005,0.01,0.0001,0.01,0.0001,0.5059831940929442
item,0.01,0.005,0.01,0.0001,0.005,0.0001,0.5058857978836261
item,0.01,0.005,0.01,0.0001,0.001,0.0001,0.5057183167052912
user,0.005,0.001,0.01,0.001,0.001,0.0001,0.5057133908777982
user,0.005,0.001,0.01,0.0005,0.001,0.0001,0.5057133908777982
user,0.005,0.001,0.01,0.0001,0.001,0.0001,0.5057133908777982
user,0.005,0.001,0.01,1e-05,0.001,0.0001,0.5057133908777982
item,0.01,0.005,0.01,0.0001,0.0005,0.0001,0.505704761785872
user,0.005,0.001,0.01,0.005,0.001,0.0001,0.505649270595417
user,0.005,0.001,0.01,0.01,0.001,0.0001,0.5056461383245432
item,0.01,0.005,0.01,0.0001,0.0001,0.0001,0.505625931673781
bipartite,0.01,0.001,0.005,0.0001,0.001,0.01,0.5055434796446444
bipartite,0.01,0.001,0.005,0.0001,0.001,0.005,0.5055390879445312
bipartite,0.01,0.001,0.005,0.0001,0.001,1e-05,0.5055339255888804
bipartite,0.01,0.001,0.005,0.0001,0.001,0.001,0.5055339255888804
bipartite,0.01,0.001,0.005,0.0001,0.001,0.0005,0.5055339255888804
bipartite,0.01,0.001,0.005,0.0001,0.001,0.0001,0.5055339255888804
item,0.01,0.0005,0.01,0.0001,0.001,0.0001,0.5053031128560597
item,0.01,0.0005,0.01,0.0001,0.0005,0.0001,0.5053013825160263
item,0.01,0.0005,0.01,0.0001,0.0001,0.0001,0.5053013825160263
item,0.01,0.0005,0.01,0.0001,0.01,0.0001,0.5053012691129657
item,0.01,0.0005,0.01,0.0001,0.005,0.0001,0.5053012691129657
item,0.01,0.0005,0.01,0.0001,0.1,0.0001,0.5053012691129657
bipartite,0.01,0.001,0.01,0.0001,0.001,0.005,0.5052964836689293
bipartite,0.01,0.001,0.01,0.0001,0.001,0.01,0.5052941353294981
item,0.01,0.0001,0.01,0.0001,0.0005,0.0001,0.5052578862334364
item,0.01,0.0001,0.01,0.0001,0.1,0.0001,0.5052578862334364
item,0.01,0.0001,0.01,0.0001,0.0001,0.0001,0.5052578862334364
item,0.01,0.0001,0.01,0.0001,0.001,0.0001,0.5052578862334364
item,0.01,0.0001,0.01,0.0001,0.005,0.0001,0.5052578862334364
item,0.01,0.0001,0.01,0.0001,0.01,0.0001,0.5052578862334364
user,0.01,0.001,0.01,0.005,0.001,0.0001,0.50524089220819
bipartite,0.01,0.001,0.01,0.0001,0.001,0.0005,0.5052369332519393
bipartite,0.01,0.001,0.01,0.0001,0.001,0.001,0.5052369332519393
user,0.01,0.001,0.01,1e-05,0.001,0.0001,0.5052357858022242
user,0.01,0.001,0.01,0.001,0.001,0.0001,0.5052357858022242
user,0.01,0.001,0.01,0.0001,0.001,0.0001,0.5052357858022242
item,0.01,0.001,0.01,0.0001,0.001,0.0001,0.5052357858022242
bipartite,0.01,0.001,0.01,0.0001,0.001,1e-05,0.5052357858022242
bipartite,0.01,0.001,0.01,0.0001,0.001,0.0001,0.5052357858022242
user,0.01,0.001,0.01,0.0005,0.001,0.0001,0.5052357858022242
item,0.01,0.001,0.01,0.0001,0.1,0.0001,0.5052334374627929
item,0.01,0.001,0.01,0.0001,0.005,0.0001,0.5052334374627929
item,0.01,0.001,0.01,0.0001,0.01,0.0001,0.5052334374627929
user,0.01,0.001,0.01,0.01,0.001,0.0001,0.5052317958163368
item,0.01,0.001,0.01,0.0001,0.0001,0.0001,0.5052232206851869
item,0.01,0.001,0.01,0.0001,0.0005,0.0001,0.5052232206851869
bipartite,0.01,0.001,0.05,0.0001,0.001,0.005,0.5019827489228985
bipartite,0.01,0.001,0.05,0.0001,0.001,0.01,0.5018804889535703
bipartite,0.01,0.001,0.05,0.0001,0.001,1e-05,0.5016668597259406
bipartite,0.01,0.001,0.05,0.0001,0.001,0.0001,0.5016668597259406
bipartite,0.01,0.001,0.05,0.0001,0.001,0.001,0.5016056549974657
bipartite,0.01,0.001,0.05,0.0001,0.001,0.0005,0.5015523495951957
user,0.05,0.001,0.01,0.001,0.001,0.0001,0.5004670321689347
user,0.05,0.001,0.01,0.0005,0.001,0.0001,0.5003716843044298
user,0.05,0.001,0.01,0.0001,0.001,0.0001,0.5003026005521423
user,0.05,0.001,0.01,1e-05,0.001,0.0001,0.5002979843187855
user,0.05,0.001,0.01,0.01,0.001,0.0001,0.4999453896536558
user,0.05,0.001,0.01,0.005,0.001,0.0001,0.49994354591056184
bipartite,0.01,0.001,0.1,0.0001,0.001,0.001,0.496667299693829
bipartite,0.01,0.001,0.1,0.0001,0.001,0.0005,0.496254152065258
bipartite,0.01,0.001,0.1,0.0001,0.001,0.0001,0.4962517640035195
bipartite,0.01,0.001,0.1,0.0001,0.001,0.005,0.4961466932064039
bipartite,0.01,0.001,0.1,0.0001,0.001,1e-05,0.496103146266553
bipartite,0.01,0.001,0.1,0.0001,0.001,0.01,0.4960821783246689
user,0.1,0.001,0.01,0.01,0.001,0.0001,0.49412787699425315
user,0.1,0.001,0.01,0.005,0.001,0.0001,0.49403443348505033
user,0.1,0.001,0.01,0.001,0.001,0.0001,0.49396845555803515
user,0.1,0.001,0.01,0.0005,0.001,0.0001,0.4937339913242174
user,0.1,0.001,0.01,1e-05,0.001,0.0001,0.4937201851695266
user,0.1,0.001,0.01,0.0001,0.001,0.0001,0.4937201851695266
bipartite,0.01,0.001,0.5,0.0001,0.001,0.01,0.486473629286848
bipartite,0.01,0.001,0.5,0.0001,0.001,0.005,0.4825349428954433
bipartite,0.01,0.001,0.5,0.0001,0.001,1e-05,0.4820370250926893
bipartite,0.01,0.001,0.5,0.0001,0.001,0.0001,0.4818711366581062
user,0.5,0.001,0.01,0.01,0.001,0.0001,0.4816010598305686
bipartite,0.01,0.001,0.5,0.0001,0.001,0.0005,0.48087021358305887
bipartite,0.01,0.001,0.5,0.0001,0.001,0.001,0.4806072149166391
user,0.5,0.001,0.01,0.005,0.001,0.0001,0.480183089094705
user,0.5,0.001,0.01,1e-05,0.001,0.0001,0.47826639463761506
user,0.5,0.001,0.01,0.0001,0.001,0.0001,0.4781844871363938
user,0.5,0.001,0.01,0.0005,0.001,0.0001,0.4758387292519865
user,0.5,0.001,0.01,0.001,0.001,0.0001,0.47511086294205485
